Date,SPY,QQQ,TLT,GLD,NZDUSD,US10Y_YIELD_PCT
2015-01-02,169.68785095,94.56114197,92.28752899,114.08000183,0.77918029,2.12299991
2015-01-05,166.62327576,93.17405701,93.73722076,115.80000305,0.76657724,2.03900003
2015-01-06,165.05395508,91.92476654,95.42605591,117.12000275,0.77000076,1.96300006
2015-01-07,167.11073303,93.10977173,95.23764038,116.43000031,0.77477342,1.95400000
2015-01-08,170.07601929,94.89184570,93.97637939,115.94000244,0.77706110,2.01600003
2015-01-09,168.71315002,94.26719666,95.00569153,117.26000214,0.78131109,1.97099996
2015-01-12,167.39154053,93.28429413,95.54936218,118.55999756,0.78468299,1.91199994
2015-01-13,166.92076111,93.25672913,95.54936218,118.16000366,0.77651811,1.88999999
2015-01-14,165.91299438,92.74230194,96.27413940,117.97000122,0.77441335,1.83700001
2015-01-15,164.39311218,91.53894043,97.78912354,120.94000244,0.77136689,1.77499998
2015-01-16,166.54901123,92.61370087,96.54239655,122.51999664,0.78406769,1.81500006
2015-01-20,166.90419006,93.34857941,97.82530212,124.19999695,0.77585536,1.80700004
2015-01-21,167.74671936,93.82624817,96.69458771,124.23000336,0.76470137,1.85300004
2015-01-22,170.24124146,95.56243134,96.34664917,125.23000336,0.75728887,1.89600003
2015-01-23,169.30790710,95.77372742,97.68764496,124.23000336,0.75075072,1.81700003
2015-01-26,169.70440674,95.66348267,97.39042664,122.98999786,0.74189478,1.82799995
2015-01-27,167.46591187,93.18325043,97.54267883,124.40000153,0.74371564,1.82500005
2015-01-28,165.31823730,92.70555115,99.13731384,123.41999817,0.74543417,1.72399998
2015-01-29,166.84635925,93.59663391,98.48501587,120.76000214,0.73243970,1.75100005
2015-01-30,164.74827576,92.87090302,100.23181915,123.44999695,0.72827905,1.67499995
2015-02-02,166.78852844,93.67929077,99.85339355,122.41999817,0.72600549,1.67299998
2015-02-03,169.20050049,94.57952118,97.73985291,121.05000305,0.73019350,1.77999997
2015-02-04,168.55619812,94.49687195,97.90687561,121.58000183,0.73286915,1.79700005
2015-02-05,170.25779724,95.31441498,96.83198547,121.79000092,0.73599762,1.81500006
2015-02-06,169.78698730,94.73567200,95.11788940,118.63999939,0.74068588,1.93799996
2015-02-09,169.02702332,94.43254089,94.96531677,119.16999817,0.73502392,1.94799995
2015-02-10,170.82771301,95.90230560,94.20999908,118.47000122,0.74019247,1.99100006
2015-02-11,170.92686462,96.25138092,94.38427734,117.06999969,0.74189478,1.98800004
2015-02-12,172.57061768,97.37205505,94.07198334,117.33999634,0.73757190,1.98599994
2015-02-13,173.28100586,98.20801544,93.10594940,117.98000336,0.74332863,2.02099991
2015-02-17,173.55355835,98.29987335,91.70421600,116.01000214,0.74850303,2.14499998
2015-02-18,173.57009888,98.43766785,92.24897003,116.33999634,0.75392038,2.06599998
2015-02-19,173.44621277,98.92453766,91.63879395,115.94000244,0.75511587,2.11299992
2015-02-20,174.48703003,99.58592224,91.90757751,115.27999878,0.75193620,2.13299990
2015-02-23,174.46221924,99.68693542,92.96070099,115.43000031,0.75301206,2.05900002
2015-02-24,174.95783997,99.76045990,94.18099976,115.26000214,0.75312543,1.98800004
2015-02-25,174.80915833,99.51243591,94.58763123,115.69999695,0.74839097,1.96899998
2015-02-26,174.60263062,100.01763916,93.29480743,116.06999969,0.75711691,2.01600003
2015-02-27,174.00790405,99.57673645,94.07923889,116.16000366,0.75392038,2.00200009
2015-03-02,175.10652161,100.47697449,92.32684326,115.68000031,0.75488788,2.08400011
2015-03-03,174.38787842,100.00846863,91.99214935,115.47000122,0.75058174,2.12199998
2015-03-04,173.65270996,99.62268066,92.02123260,115.11000061,0.75625807,2.12299991
2015-03-05,173.84268188,99.79718781,91.90478516,115.00000000,0.75912857,2.11199999
2015-03-06,171.39772034,98.66731262,89.87444305,111.86000061,0.74900752,2.24000001
2015-03-09,172.10804749,98.95207977,90.70407104,111.97000122,0.73637700,2.19499993
2015-03-10,169.31617737,97.11485291,91.89752960,111.41999817,0.73410660,2.12599993
2015-03-11,168.91964722,96.55450439,92.56701660,110.75000000,0.72918189,2.10899997
2015-03-12,171.06730652,97.18836212,92.50151062,110.72000122,0.73067367,2.09599996
2015-03-13,170.01821899,96.76575470,92.21767426,110.87999725,0.74057621,2.11199999
2015-03-16,172.28982544,98.01511383,93.10554504,110.80999756,0.73190367,2.09800005
2015-03-17,171.77772522,98.17127991,93.87692261,110.20999908,0.73806185,2.05800009
2015-03-18,173.84268188,99.13579559,95.68900299,112.37000275,0.73158240,1.95099998
2015-03-19,173.04974365,99.28278351,95.20141602,112.29000092,0.75058174,1.97700000
2015-03-20,174.57714844,99.92541504,95.70353699,113.56999969,0.74321812,1.92999995
2015-03-23,174.23706055,99.73208618,95.58708954,114.29000092,0.75700229,1.91499996
2015-03-24,173.25799561,99.37301636,96.51130676,114.56999969,0.76552093,1.87800002
2015-03-25,170.71905518,97.09883881,95.69625092,114.73000336,0.76248574,1.91999996
2015-03-26,170.31256104,96.76737213,94.20440674,115.48000336,0.75849515,2.00699997
2015-03-27,170.70249939,97.15406799,95.37608337,115.05999756,0.75918621,1.94799995
2015-03-30,172.78507996,98.26814270,94.90303802,113.75000000,0.75471693,1.96300006
2015-03-31,171.27502441,97.22774506,95.10682678,113.66000366,0.75013131,1.93400002
2015-04-01,170.66926575,96.72135162,96.35602570,115.59999847,0.74454623,1.86800003
2015-04-02,171.28330994,96.78579712,95.33508301,115.27999878,0.74410301,1.90400004
2015-04-06,172.43658447,97.57762146,94.80268860,116.69000244,0.76167268,1.90400004
2015-04-07,171.98020935,97.41186523,95.59762573,116.11000061,0.75357950,1.89300001
2015-04-08,172.56103516,98.18529510,95.62674713,115.47000122,0.75075072,1.89499998
2015-04-09,173.32437134,98.80213928,94.38701630,114.66999817,0.75540113,1.95799994
2015-04-10,174.27024841,99.20727539,94.52559662,115.97000122,0.75763315,1.95099998
2015-04-13,173.48199463,98.95869446,94.65689087,115.13999939,0.75380677,1.93900001
2015-04-14,173.81385803,98.67327881,95.32773590,114.44000244,0.74621296,1.90400004
2015-04-15,174.59384155,99.29013824,95.24755096,115.43000031,0.75120193,1.89999998
2015-04-16,174.54399109,99.15203857,94.77352142,115.02999878,0.75895566,1.87800002
2015-04-17,172.53613281,97.60523987,95.86014557,115.59999847,0.76528662,1.85000002
2015-04-20,174.11250305,99.06918335,95.01416779,114.72000122,0.77053481,1.89499998
2015-04-21,173.90513611,99.49269867,94.58392334,115.37999725,0.76610738,1.91600001
2015-04-22,174.75975037,100.03591919,93.14002991,113.83000183,0.76722413,1.97200000
2015-04-23,175.19946289,100.41341400,93.54109955,114.66000366,0.76429224,1.94700003
2015-04-24,175.60600281,101.77607727,94.12448120,113.05000305,0.75797766,1.91700006
2015-04-27,174.87588501,101.51828003,94.12448120,115.33000183,0.76097709,1.92400002
2015-04-28,175.43182373,101.31574249,92.82642365,116.33000183,0.76289290,1.97300005
2015-04-29,174.70999146,100.68040466,91.68882751,115.51000214,0.77237970,2.03500009
2015-04-30,172.95927429,99.09678650,91.84922791,113.47000122,0.76057196,2.04600000
2015-05-01,174.83444214,100.40420532,90.61278534,113.08000183,0.76051408,2.11700010
2015-05-04,175.33222961,100.56993866,89.75783539,114.09999847,0.75261539,2.13499999
2015-05-05,173.32437134,98.93106079,89.63361359,114.41999817,0.75409096,2.17600012
2015-05-06,172.61080933,98.24974060,88.09906769,114.36000061,0.75007504,2.24000001
2015-05-07,173.29943848,98.83902740,89.28282166,113.41999817,0.74900752,2.18400002
2015-05-08,175.58111572,100.07273865,89.52397919,113.97000122,0.74432451,2.15000010
2015-05-11,174.74316406,99.68605804,87.34635925,113.52999878,0.74250078,2.27399993
2015-05-12,174.22042847,99.23490906,87.57289886,114.50000000,0.73443007,2.25999999
2015-05-13,174.25358582,99.43745422,86.87139893,116.55000305,0.74156469,2.28200006
2015-05-14,176.07070923,100.89222717,87.10524750,117.18000031,0.75340921,2.23900008
2015-05-15,176.26148987,100.89222717,88.85168457,117.52999878,0.74928820,2.14100003
2015-05-18,176.80908203,101.33412933,87.36100769,117.51999664,0.74576777,2.22799993
2015-05-19,176.75105286,101.22365570,86.58640289,115.88999939,0.73762631,2.26200008
2015-05-20,176.62663269,101.28808594,86.73249054,116.08000183,0.73610598,2.25099993
2015-05-21,177.14094543,101.81288910,87.94558716,115.69000244,0.73035347,2.18499994
2015-05-22,176.71784973,101.71160889,87.98211670,115.59999847,0.73529410,2.21499991
2015-05-26,174.81782532,100.54230499,89.48743439,113.91000366,0.73120797,2.13700008
2015-05-27,176.47720337,102.16278076,89.69204712,113.88999939,0.72479528,2.13499999
2015-05-28,176.27810669,101.93258667,89.47285461,114.01999664,0.72421783,2.13000011
2015-05-29,175.18286133,101.32493591,89.67018127,114.09999847,0.71833920,2.09500003
2015-06-01,175.53967285,101.66560364,88.70640564,114.00000000,0.70992476,2.19199991
2015-06-02,175.36546326,101.34335327,87.46880341,114.45999908,0.71042907,2.26600003
2015-06-03,175.83004761,101.64719391,86.06270599,113.63999939,0.71669173,2.36599994
2015-06-04,174.34487915,100.87376404,87.18316650,112.83999634,0.71520525,2.30699992
2015-06-05,174.04615784,100.63439941,86.12128448,112.23999786,0.71280921,2.40199995
2015-06-08,172.97584534,99.61239624,86.02608490,112.56999969,0.70487064,2.38100004
2015-06-09,172.95101929,99.44667816,85.34505463,112.81999969,0.71306330,2.41700006
2015-06-10,175.02528381,100.80931854,84.59808350,113.77999878,0.71459198,2.47799993
2015-06-11,175.58946228,100.95664215,86.37761688,113.26000214,0.70477128,2.38299990
2015-06-12,174.24533081,100.12799835,86.37761688,113.23000336,0.70160669,2.38499999
2015-06-15,173.49858093,99.63079071,86.51676178,113.73000336,0.69910514,2.35800004
2015-06-16,174.44442749,100.17404175,87.19781494,113.31999969,0.69998604,2.31800008
2015-06-17,174.72654724,100.45023346,86.52410126,113.84999847,0.69842154,2.30599999
2015-06-18,176.54360962,101.91417694,86.09936523,115.31999969,0.68898994,2.35100007
2015-06-19,175.75984192,101.41032410,87.20515442,115.12000275,0.69189787,2.26699996
2015-06-22,176.66035461,102.15781403,85.42560577,113.63999939,0.69022644,2.35999990
2015-06-23,176.78535461,102.24087524,84.91295624,112.88999939,0.68700188,2.40899992
2015-06-24,175.50140381,101.71484375,85.64528656,112.58999634,0.68671888,2.37100005
2015-06-25,174.96784973,101.51182556,85.34505463,112.44000244,0.68903738,2.39299989
2015-06-26,174.93446350,100.83817291,84.38569641,112.55999756,0.68875265,2.47600007
2015-06-29,171.26608276,98.45726776,86.61930084,113.06999969,0.68231440,2.33100009
2015-06-30,171.62455750,98.80794525,86.01876068,112.37000275,0.68390095,2.33500004
2015-07-01,173.00021362,99.59233093,84.85768127,111.98000336,0.67870229,2.41799998
2015-07-02,172.84178162,99.62001801,85.13659668,111.76000214,0.67132121,2.39299989
2015-07-06,172.34989929,99.38931274,86.71458435,112.05999756,0.66818118,2.27800012
2015-07-07,173.43377686,99.63847351,87.52918243,110.76000214,0.66751218,2.23099995
2015-07-08,170.52400208,97.90354919,88.28515625,111.08999634,0.66671109,2.20600009
2015-07-09,170.83253479,97.84819031,86.54573822,111.36000061,0.67159170,2.30100012
2015-07-10,172.98350525,99.34317780,85.17328644,111.48999786,0.67480940,2.41700006
2015-07-13,174.89277649,101.08732605,84.90904999,110.98999786,0.67150146,2.43000007
2015-07-14,175.65148926,101.75178528,85.18796539,110.73999786,0.66849387,2.39899993
2015-07-15,175.59317017,101.86251831,86.09070587,110.16000366,0.67037606,2.34999990
2015-07-16,177.00215149,103.30213928,86.68518066,109.76000214,0.65750539,2.35200000
2015-07-17,177.15222168,104.82482147,87.13288879,108.65000153,0.65248597,2.34899998
2015-07-20,177.24392700,105.18473053,86.76590729,105.69999695,0.65172052,2.37199998
2015-07-21,176.54359436,105.12010956,87.23564148,105.37000275,0.65824121,2.33999991
2015-07-22,176.22676086,103.92964172,87.77876282,104.80000305,0.66291016,2.32200003
2015-07-23,175.23466492,103.54209137,88.87231445,104.33000183,0.66299808,2.27699995
2015-07-24,173.41706848,102.52694702,89.09249115,105.34999847,0.66190100,2.27099991
2015-07-27,172.40826416,101.67795563,89.56953430,104.86000061,0.65798134,2.22799993
2015-07-28,174.52598572,102.55461121,88.91632843,105.01999664,0.66269052,2.25000000
2015-07-29,175.72654724,102.94222260,88.58610535,105.16999817,0.67141128,2.27900004
2015-07-30,175.76824951,103.43133545,89.26866913,104.26999664,0.66551316,2.26799989
2015-07-31,175.50140381,103.31134796,89.92916870,104.93000031,0.66080755,2.20499992
2015-08-03,174.90948486,102.98837280,90.87583923,104.09999847,0.65828454,2.15000010
2015-08-04,174.56762695,102.79457855,90.15501404,104.30999756,0.65690076,2.21099997
2015-08-05,175.14292908,103.58821869,89.47828674,103.93000031,0.65376568,2.26799989
2015-08-06,173.70889282,101.92711639,90.27266693,104.38999939,0.65265632,2.23399997
2015-08-07,173.37538147,101.79791260,91.45691681,104.65000153,0.65440744,2.17499995
2015-08-10,175.55982971,102.96067810,90.32415771,105.72000122,0.66111332,2.23799992
2015-08-11,173.97570801,101.64102173,91.75845337,106.26000214,0.66141945,2.13700008
2015-08-12,174.18414307,101.99172211,91.25832367,107.75000000,0.65539390,2.13000011
2015-08-13,173.96733093,101.82557678,90.96409607,106.86000061,0.66120070,2.18899989
2015-08-14,174.60099792,101.98247528,91.17738342,106.84999847,0.65599579,2.19600010
2015-08-17,175.57644653,102.83146667,91.58927917,107.12999725,0.65419340,2.15000010
2015-08-18,175.06788635,102.30547333,90.86849213,107.11000061,0.65811121,2.19600010
2015-08-19,173.68388367,101.63179016,91.76584625,108.55000305,0.65889174,2.12899995
2015-08-20,170.05715942,98.81713104,92.69260406,110.44000244,0.66019672,2.08400011
2015-08-21,164.93795776,94.49830627,92.97209930,111.12999725,0.66233939,2.05399990
2015-08-24,157.99296570,90.86234283,92.94268036,110.52999878,0.66277838,1.99699998
2015-08-25,156.13372803,90.52088165,91.44955444,109.16000366,0.64612001,2.13299990
2015-08-26,162.12832642,95.07965851,89.68427277,107.66999817,0.64699793,2.17199993
2015-08-27,166.13859558,97.48827362,89.73573303,107.73000336,0.64470375,2.16799998
2015-08-28,166.14691162,97.46977997,90.00052643,108.69999695,0.64779425,2.18600011
2015-08-31,164.80455017,96.26090240,89.30915070,108.81999969,0.64628708,2.20000005
2015-09-01,159.88558960,93.25247192,89.95265198,109.19999695,0.63528365,2.17199993
2015-09-02,162.92028809,95.88252258,89.17864227,108.62000275,0.63191152,2.19300008
2015-09-03,163.03707886,95.41188812,89.61357880,107.83999634,0.63698322,2.16799998
2015-09-04,160.56922913,94.27680206,90.43177795,107.48999786,0.63926357,2.12800002
2015-09-08,164.60450745,96.93456268,89.09757233,107.51999664,0.62739193,2.19400001
2015-09-09,162.40342712,95.84561920,89.52516174,106.12999725,0.63759243,2.18099999
2015-09-10,163.28718567,96.88842010,88.92068481,106.37999725,0.62668419,2.22199988
2015-09-11,164.02917480,97.42367554,89.48089600,106.16000366,0.63099444,2.18300009
2015-09-14,163.42057800,97.12836456,89.62093353,106.22000122,0.63231105,2.18000007
2015-09-15,165.46324158,98.27271271,87.90337372,105.90000153,0.63411540,2.28099990
2015-09-16,166.89733887,98.82638550,87.57170868,107.30999756,0.63479972,2.30299997
2015-09-17,166.52207947,98.86328125,88.64051819,108.41000366,0.63536441,2.21700001
2015-09-18,163.80085754,97.45717621,90.00422668,109.20999908,0.63751113,2.13000011
2015-09-21,164.64730835,97.76246643,88.53736877,108.52999878,0.63848805,2.21399999
2015-09-22,162.51023865,96.30082703,89.76837158,107.79000092,0.63291138,2.12500000
2015-09-23,162.25041199,96.37483978,89.76097107,108.22000122,0.62889123,2.14400005
2015-09-24,161.66380310,96.02330017,90.37278748,110.48999786,0.62782520,2.11999989
2015-09-25,161.62188721,95.20922089,89.59143066,109.80999756,0.63271117,2.16799998
2015-09-28,157.56562805,92.49874115,91.12467957,108.41999817,0.63751113,2.09500003
2015-09-29,157.65776062,92.01769257,91.38269806,107.98000336,0.63079542,2.05399990
2015-09-30,160.59944153,94.13613892,91.06572723,106.86000061,0.63540477,2.05999994
2015-10-01,161.01844788,94.56166077,91.45424652,106.73000336,0.63889599,2.04200006
2015-10-02,163.42370605,96.21758270,92.00828552,108.98999786,0.63999999,1.98899996
2015-10-05,166.33184814,97.59595490,90.75991058,108.76999664,0.64520288,2.05599999
2015-10-06,165.76194763,97.13339233,91.15142822,109.86000061,0.64939284,2.03500009
2015-10-07,167.11964417,97.71621704,90.84854889,109.69999695,0.65440744,2.06200004
2015-10-08,168.62817383,98.10472870,90.08771515,109.13999939,0.66058922,2.10800004
2015-10-09,168.72871399,98.54875183,90.32408142,110.87000275,0.66680002,2.09899998
2015-10-12,168.88795471,98.78930664,91.01108551,111.30999756,0.66818118,2.08999991
2015-10-13,167.82360840,98.15097046,91.16622162,111.86000061,0.67033118,2.05500007
2015-10-14,167.01907349,97.99372864,91.96395111,113.80999756,0.66489363,1.98099995
2015-10-15,169.58354187,99.60336304,91.51335144,113.29000092,0.68041098,2.02300000
2015-10-16,170.35459900,100.01965332,91.54291534,112.48999786,0.68371391,2.02300000
2015-10-19,170.43836975,100.59319305,91.29175568,112.01999664,0.67990208,2.02800012
2015-10-20,170.22050476,100.07514191,90.73035431,112.73000336,0.68059617,2.07100010
2015-10-21,169.16448975,99.46459198,91.63150787,111.73000336,0.67512828,2.02999997
2015-10-22,172.02236938,101.49053955,91.78667450,111.69000244,0.67254019,2.02500010
2015-10-23,173.90795898,104.33051300,91.00366974,111.50000000,0.67990208,2.08299994
2015-10-26,173.48051453,104.39528656,91.60938263,111.43000031,0.67494601,2.05800009
2015-10-27,173.14535522,104.60807037,91.83833313,111.68000031,0.67851812,2.02800012
2015-10-28,175.11480713,105.47757721,91.46902466,110.77999878,0.67727733,2.09200001
2015-10-29,175.01420593,105.31111145,90.01386261,109.72000122,0.66880685,2.17300010
2015-10-30,174.25999451,104.83928680,90.69343567,109.30000305,0.67060089,2.15100002
2015-11-02,176.32165527,106.02342224,90.27666473,108.58999634,0.67718565,2.18700004
2015-11-03,176.83285522,106.39344025,89.53637695,106.98000336,0.67581266,2.22000003
2015-11-04,176.29650879,106.40267944,89.64006042,105.97000122,0.66640013,2.23000002
2015-11-05,176.12048340,106.11595154,89.40313721,105.63999939,0.65950012,2.24499989
2015-11-06,176.02833557,106.18993378,88.09285736,104.09999847,0.66098225,2.33299994
2015-11-09,174.38574219,105.06132507,87.59684753,104.40000153,0.65368021,2.34200001
2015-11-10,174.78791809,104.79305267,87.85594177,104.18000031,0.65389395,2.32200003
2015-11-11,174.10075378,104.66351318,87.67087555,103.83000183,0.65522212,2.33800006
2015-11-12,171.67033386,103.64595795,88.09285736,103.84999847,0.65552276,2.31900001
2015-11-13,169.74275208,101.61078644,88.59623718,103.55999756,0.65479308,2.27999997
2015-11-16,172.32400513,103.07244110,88.51480103,103.70999908,0.65329587,2.27300000
2015-11-17,172.19836426,103.13718414,88.66290283,102.33999634,0.64850843,2.26099992
2015-11-18,174.93045044,105.11683655,88.84790039,102.43000031,0.64800411,2.26900005
2015-11-19,174.77958679,105.19084930,89.44010925,103.55999756,0.64918202,2.24799991
2015-11-20,175.41653442,105.90318298,89.16625214,103.08999634,0.65586668,2.26200008
2015-11-23,175.21539307,105.59787750,89.44010925,102.26000214,0.65475023,2.25000000
2015-11-24,175.44999695,105.50538635,89.43273163,102.94000244,0.65121126,2.24300003
2015-11-25,175.42488098,105.59787750,89.64006042,102.45999908,0.65599579,2.23200011
2015-11-27,175.62606812,105.74589539,89.55120850,101.25000000,0.65759188,2.22499990
2015-11-30,174.89692688,105.47757721,89.90652466,101.91999817,0.65269893,2.21799994
2015-12-01,176.56463623,106.53221893,91.12092590,102.27999878,0.65997887,2.15499997
2015-12-02,174.76280212,105.87540436,91.15061951,100.69000244,0.66728950,2.17799997
2015-12-03,172.31564331,104.08074951,88.67280579,101.76000214,0.66431940,2.32999992
2015-12-04,175.67626953,106.51371002,89.45178986,104.01999664,0.66751218,2.27500010
2015-12-07,174.61196899,106.03263855,90.31970978,102.66999817,0.67290223,2.22499990
2015-12-08,173.43867493,106.04193878,90.36425781,102.83999634,0.66401058,2.23799992
2015-12-09,172.08932495,104.43228149,90.26781464,102.63999939,0.66379023,2.20799994
2015-12-10,172.53353882,104.90408325,90.38647461,102.55000305,0.67272115,2.23900008
2015-12-11,169.18963623,102.48962402,91.81086731,103.11000061,0.67631543,2.13899994
2015-12-14,170.04446411,103.26667786,90.62389374,101.79000092,0.67190754,2.22499990
2015-12-15,171.82963562,103.89572144,90.08974457,101.51999664,0.67851812,2.26799989
2015-12-16,174.34379578,105.44062042,89.89693451,102.75000000,0.67709392,2.28699994
2015-12-17,171.68716431,103.90498352,90.91322327,100.50000000,0.67663574,2.23799992
2015-12-18,168.62847900,101.91184998,91.41764832,102.04000092,0.67019635,2.19899988
2015-12-21,170.01957703,103.04389954,91.39540863,103.15000153,0.67281169,2.19700003
2015-12-22,171.56231689,103.72124481,90.73515320,102.61000061,0.67759860,2.23900008
2015-12-23,173.68682861,104.49140930,90.05267334,102.30999756,0.68092060,2.26399994
2015-12-24,173.40020752,104.47286987,90.56860352,103.05000305,0.67907101,2.24300003
2015-12-28,173.00402832,104.41718292,90.83618164,102.26999664,0.68432218,2.22499990
2015-12-29,174.85028076,106.05960846,89.32710266,102.19999695,0.68558890,2.30699992
2015-12-30,173.61097717,105.10383606,89.23789978,101.41999817,0.68648314,2.30299997
2015-12-31,171.87429810,103.79547882,89.63935089,101.45999908,0.68441588,2.26900005
2016-01-04,169.47154236,101.60563660,90.28610229,102.88999939,0.68329346,2.24499989
2016-01-05,169.75822449,101.42934418,89.92182159,103.18000031,0.67458177,2.24799991
2016-01-06,167.61680603,100.45505524,91.13359070,104.66999817,0.67010653,2.17700005
2016-01-07,163.59545898,97.30942535,91.29714203,106.15000153,0.66431940,2.15300012
2016-01-08,161.79980469,96.51144409,91.70597839,105.68000031,0.66255879,2.13000011
2016-01-11,161.95988464,96.80834961,90.70237732,104.73999786,0.65189046,2.15799999
2016-01-12,163.26663208,97.93111420,92.01079559,104.20999908,0.65560871,2.10200000
2016-01-13,159.19467163,94.55355835,92.91770172,104.72000122,0.65449309,2.06599998
2016-01-14,161.80812073,96.56710815,92.04794312,103.01999664,0.64871877,2.09800005
2016-01-15,158.33473206,93.56998444,93.48271942,104.08000183,0.64901352,2.03299999
2016-01-19,158.54553223,93.77411652,93.19279480,103.98000336,0.64545280,2.03500009
2016-01-20,156.51371765,93.48644257,94.17408752,105.37000275,0.64028686,1.98399997
2016-01-21,157.39054871,93.57923889,93.53472900,105.48999786,0.64628708,2.01900005
2016-01-22,160.61938477,96.28872681,93.17790222,105.00000000,0.65457880,2.04800010
2016-01-25,158.19142151,94.85978699,93.68343353,106.08000183,0.64750063,2.02200007
2016-01-26,160.34962463,95.71343994,93.72803497,107.29000092,0.64491165,1.99399996
2016-01-27,158.60455322,93.32872009,93.70571899,107.69000244,0.65078747,2.00099993
2016-01-28,159.43078613,94.64635468,93.83950806,106.54000092,0.64271486,1.98500001
2016-01-29,163.31727600,96.62276459,94.63498688,106.94999695,0.64800411,1.93099999
2016-02-01,163.25820923,96.88262177,94.34529877,108.05000305,0.64699793,1.96599996
2016-02-02,160.31593323,94.78554535,96.09558105,108.08999634,0.65457880,1.86399996
2016-02-03,161.27697754,94.33087158,95.29858398,109.25000000,0.65201801,1.88100004
2016-02-04,161.52996826,94.32157135,95.76035309,110.56999969,0.66471684,1.86399996
2016-02-05,158.45280457,91.04608917,95.87215424,112.31999969,0.67299277,1.84800005
2016-02-08,156.31990051,89.65422058,97.93525696,113.83000183,0.66299808,1.73500001
2016-02-09,156.32829285,89.37584686,98.03951263,113.58000183,0.66190100,1.72899997
2016-02-10,156.19343567,89.71918488,98.90347290,114.45999908,0.66423118,1.70500004
2016-02-11,154.16159058,89.58926392,99.59616089,119.05999756,0.66849387,1.64400005
2016-02-12,157.33999634,90.95329285,97.94271851,118.36000061,0.67150146,1.74800003
2016-02-16,159.99559021,93.00393677,96.90740204,114.76999664,0.66489363,1.77800000
2016-02-17,162.60903931,95.11029816,96.31154633,115.48000336,0.65819788,1.81900001
2016-02-18,161.94305420,94.02462769,97.49584198,118.29000092,0.66339391,1.75899994
2016-02-19,161.86712646,94.30300140,97.57771301,117.58000183,0.66449600,1.74800003
2016-02-22,164.21092224,95.83406830,97.52565002,115.48999786,0.66260272,1.76600003
2016-02-23,162.13693237,94.25662994,97.92037964,117.22000122,0.67141128,1.74500000
2016-02-24,162.87881470,95.15666962,97.72673035,117.61000061,0.66401058,1.74199998
2016-02-25,164.85160828,96.09386444,98.07675171,117.91999817,0.66644454,1.69700003
2016-02-26,164.47224426,95.97325134,97.13086700,117.11000061,0.67490047,1.76199996
2016-02-29,163.18229675,95.11029816,97.55538940,118.63999939,0.65919578,1.74000001
2016-03-01,167.01824951,98.16310120,95.83757019,117.76999664,0.66041476,1.83399999
2016-03-02,167.76855469,98.20021820,96.23307800,118.68000031,0.66409880,1.84800005
2016-03-03,168.42616272,98.01464081,96.58381653,120.73000336,0.66640013,1.83000004
2016-03-04,168.97412109,98.05175781,95.96443939,120.54000092,0.67249495,1.88300002
2016-03-07,169.10899353,97.44860077,95.93458557,121.13999939,0.67897880,1.90199995
2016-03-08,167.26271057,96.64134216,96.99424744,120.58000183,0.67851812,1.83200002
2016-03-09,168.08897400,97.26303864,96.40469360,119.58000183,0.67449075,1.89199996
2016-03-10,168.22380066,97.11457825,96.00920105,121.50000000,0.66440767,1.92900002
2016-03-11,170.93841553,98.81264496,95.03909302,119.41000366,0.66889632,1.97700000
2016-03-14,170.71931458,98.97964478,95.33761597,117.87000275,0.67408156,1.96300006
2016-03-15,170.44107056,98.94254303,95.42718506,117.95999908,0.66849387,1.95899999
2016-03-16,171.42745972,99.82408142,95.71070862,120.58999634,0.66124445,1.93799996
2016-03-17,172.51501465,99.76839447,96.10622406,120.12999725,0.67408156,1.90300000
2016-03-18,173.19294739,99.92472076,96.30770874,119.80000305,0.68390095,1.87100005
2016-03-21,173.43867493,100.31560516,95.56896210,118.95999908,0.67769045,1.92299998
2016-03-22,173.34539795,100.62271881,95.54657745,119.30999756,0.67668152,1.93499994
2016-03-23,172.20141602,99.79441071,96.62857819,116.61000061,0.67490047,1.87500000
2016-03-24,172.12521362,99.82235718,96.66589355,116.33000183,0.67217857,1.89999998
2016-03-28,172.22685242,99.68276215,96.79277039,116.59999847,0.66777968,1.87000000
2016-03-29,173.81996155,101.28346252,97.80764008,118.76000214,0.67421794,1.81400001
2016-03-30,174.58264160,101.77674866,96.77782440,117.09999847,0.68690753,1.83000004
2016-03-31,174.15895081,101.62780762,97.46434021,117.63999939,0.69032168,1.78600001
2016-04-01,175.34533691,102.70738983,97.71856689,116.93000031,0.69208938,1.79200006
2016-04-04,174.77751160,102.31649780,97.77841187,116.15000153,0.68970275,1.77900004
2016-04-05,173.03189087,101.33002472,98.84773254,117.66000366,0.68138456,1.72700000
2016-04-06,174.92163086,102.99591064,98.12989807,116.94000244,0.68004078,1.75500000
2016-04-07,172.82852173,101.51610565,99.34123993,118.61000061,0.68329346,1.69099998
2016-04-08,173.29460144,101.44169617,98.71314240,118.43000031,0.67819601,1.72000003
2016-04-11,172.88783264,101.06943512,98.58602142,120.02999878,0.68170971,1.72399998
2016-04-12,174.49792480,101.91635895,97.90555573,120.05000305,0.68610638,1.78100002
2016-04-13,176.26051331,103.21926117,98.24951935,118.76999664,0.69237691,1.76199996
2016-04-14,176.26898193,103.22857666,97.77841187,117.11000061,0.69151509,1.78100002
2016-04-15,176.07408142,102.96797180,98.61595154,117.91999817,0.68648314,1.75199997
